,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,0.0,1.0,1.0
2013-06-01,0.0,1.0,0.0,1.0
2013-06-02,0.0,1.0,1.0,2.0
2013-06-03,0.0,6.0,1.0,7.0
2013-06-04,0.0,14.0,1.0,15.0
2013-06-05,0.0,20.0,26.0,46.0
2013-06-06,3.0,6.0,2.0,11.0
2013-06-07,0.0,8.0,5.0,13.0
2013-06-08,1.0,1.0,0.0,2.0
2013-06-09,0.0,1.0,1.0,2.0
2013-06-10,2.0,12.0,9.0,23.0
2013-06-11,0.0,7.0,5.0,12.0
2013-06-12,0.0,8.0,2.0,10.0
2013-06-13,1.0,7.0,1.0,9.0
2013-06-14,0.0,2.0,0.0,2.0
2013-06-15,0.0,20.0,1.0,21.0
2013-06-16,0.0,4.0,1.0,5.0
2013-06-17,1.0,8.0,4.0,13.0
2013-06-18,1.0,13.0,8.0,22.0
2013-06-19,0.0,7.0,8.0,15.0
2013-06-20,0.0,4.0,5.0,9.0
2013-06-21,0.0,2.0,1.0,3.0
2013-06-22,1.0,5.0,1.0,7.0
2013-06-23,0.0,0.0,0.0,0.0
2013-06-24,5.0,9.0,10.0,24.0
2013-06-25,0.0,11.0,2.0,13.0
2013-06-26,0.0,5.0,2.0,7.0
2013-06-27,1.0,10.0,4.0,15.0
2013-06-28,0.0,7.0,2.0,9.0
2013-06-29,0.0,1.0,1.0,2.0
2013-06-30,0.0,1.0,1.0,2.0
2013-07-01,0.0,2.0,4.0,6.0
2013-07-02,6.0,40.0,5.0,51.0
2013-07-03,4.0,12.0,1.0,17.0
2013-07-04,0.0,9.0,3.0,12.0
2013-07-05,1.0,6.0,4.0,11.0
2013-07-06,0.0,4.0,2.0,6.0
2013-07-07,0.0,8.0,11.0,19.0
2013-07-08,0.0,16.0,24.0,40.0
2013-07-09,0.0,12.0,3.0,15.0
2013-07-10,0.0,32.0,10.0,42.0
2013-07-11,2.0,10.0,5.0,17.0
2013-07-12,2.0,6.0,2.0,10.0
2013-07-13,0.0,4.0,1.0,5.0
2013-07-14,0.0,9.0,2.0,11.0
2013-07-15,0.0,16.0,2.0,18.0
2013-07-16,1.0,9.0,2.0,12.0
2013-07-17,5.0,25.0,3.0,33.0
2013-07-18,3.0,52.0,62.0,117.0
2013-07-19,1.0,11.0,10.0,22.0
2013-07-20,0.0,6.0,3.0,9.0
2013-07-21,0.0,4.0,3.0,7.0
2013-07-22,0.0,14.0,3.0,17.0
2013-07-23,0.0,11.0,7.0,18.0
2013-07-24,1.0,16.0,9.0,26.0
2013-07-25,4.0,8.0,0.0,12.0
2013-07-26,0.0,12.0,0.0,12.0
2013-07-27,0.0,8.0,0.0,8.0
2013-07-28,0.0,1.0,2.0,3.0
2013-07-29,1.0,14.0,2.0,17.0
2013-07-30,0.0,9.0,0.0,9.0
2013-07-31,0.0,14.0,3.0,17.0
2013-08-01,0.0,11.0,1.0,12.0
2013-08-02,0.0,3.0,0.0,3.0
2013-08-03,0.0,0.0,0.0,0.0
